,0
0,Cyberpunk 2077
1,Counter-Strike: Global Offensive - Operation Broken Fang
2,DEATH STRANDING
3,Phasmophobia
4,Oxygen Not Included
5,Baldur's Gate 3
6,Resident Evil 3
7,Mount & Blade II: Bannerlord
8,HUMANKIND™
9,Hades
10,Raft
11,Borderlands 3: Super Deluxe Edition
12,Among Us
13,Rust
14,Borderlands 3
15,Dragon's Dogma: Dark Arisen
16,Grand Theft Auto V
17,The Jackbox Party Pack 7
18,The Forest
19,Outward
20,ASTRONEER
21,The Elder Scrolls V: Skyrim Special Edition
22,STAR WARS™: The Old Republic™ - Cartel Coins
23,STAR WARS™: The Old Republic™ - Cartel Coins
24,STAR WARS™: The Old Republic™ - Cartel Coins
25,STAR WARS™: The Old Republic™ - Cartel Coins
26,STAR WARS™: The Old Republic™ - Cartel Coins
27,Halo: The Master Chief Collection
28,RACCOON CITY EDITION
29,Dragon Age™ Inquisition
30,Outward : The Adventurer Bundle
31,Back 4 Blood
32,Red Dead Redemption 2
33,Oxygen Not Included - Spaced Out!
34,Fall Guys: Ultimate Knockout
35,Gears 5
36,Microsoft Flight Simulator
37,Sea of Thieves
38,Borderlands 3 Ultimate Edition
39,Half-Life: Alyx
40,Jurassic World Evolution: Premium Edition
41,Squad
42,STAR WARS™: Squadrons
43,GTFO
44,Tabletop Simulator
45,Satisfactory
46,Crusader Kings III
47,EA Play
48,Destiny 2: Legendary Edition
49,Beat Saber
